"store_id","hub_id","store_segment","store_plan_price","store_latitude","store_longitude"
"785","33","FOOD","49","-23.579067","-46.594006"
"786","33","GOOD","49","-23.579067","-46.594006"
"787","33","FOOD","49","-23.579067","-46.594006"
"790","33","FOOD","49","-23.57989","-46.594296"
"791","8","FOOD","0","-22.921474","-43.23482"
"792","13","FOOD","0","-22.887522","-43.283367"
"801","20","FOOD","49","-22.996847","-43.3612"
"802","20","FOOD","49","-22.996847","-43.3612"
"804","18","FOOD","49","-22.94733","-43.183533"
"806","27","GOOD",,,
"807","29","GOOD",,,
"808","28","GOOD",,,
"809","25","GOOD","29","-23.570765","-46.642044"
"810","22","FOOD","49","-23.001696","-43.386494"
"811","8","GOOD","0","-22.921474","-43.23482"
"824","26","GOOD","29","-23.563759","-46.652622"
"828","20","GOOD",,"-22.996847","-43.3612"
"832","27","GOOD","29","-23.622995","-46.699203"
"837","33","GOOD","29","-23.579067","-46.594006"
"840","26","FOOD","49","-23.563759","-46.652622"
"845","13","FOOD",,"-22.887522","-43.283367"
"847","13","GOOD","29","-22.887522","-43.283367"
"850","22","FOOD","49","-23.001696","-43.386494"
"859","20","FOOD","49","-22.996847","-43.3612"
"864","3","FOOD","0","-30.038145","-51.20352"
"869","18","FOOD","49","-22.94733","-43.183533"
"870","18","FOOD","49","-22.949297","-43.188152"
"875","31","FOOD","49","-23.631836","-46.735203"
"876","26","GOOD","29","-23.569798","-46.659252"
"877","33","GOOD","29","-23.579067","-46.594006"
"879","28","FOOD","49","-23.595776","-46.685986"
"882","35","FOOD","49","-22.97315","-43.37081"
"883","35","FOOD","49","-22.97315","-43.37081"
"886","35","FOOD",,"-22.97315","-43.37081"
"894","35","FOOD","49","-22.97315","-43.37081"
"902","8","GOOD","29","-22.921474","-43.23482"
"903","35","FOOD","49","-22.97315","-43.37081"
"904","25","GOOD","29","-23.570765","-46.642044"
"911","28","FOOD","0","-23.595776","-46.685986"
"912","3","FOOD","49","-30.035517","-51.204006"
"913","27","GOOD","29","-23.622995","-46.699203"
"915","25","GOOD","29","-23.570765","-46.642044"
"918","27","GOOD",,"-23.622995","-46.699203"
"921","29","GOOD","29","-23.561052","-46.558975"
"923","3","GOOD","29","-30.027067","-51.19292"
"924","29","GOOD","29","-23.561052","-46.558975"
"931","31","FOOD","49","-23.631836","-46.735203"
"933","31","FOOD","49","-23.631836","-46.735203"
